date,ticker,open,high,low,close,volume
2016-06-06,NVDA,1.1437358852059865,1.1525716751575006,1.12900968565356,1.1349002122879028,322512000
2016-06-07,NVDA,1.1417727141422023,1.1481540806549408,1.13661856050502,1.137109398841858,193400000
2016-06-08,NVDA,1.1373546794265101,1.141527155881611,1.1241011096791087,1.1334277391433716,234616000
2016-06-09,NVDA,1.1295007218264526,1.1645981139428259,1.1270462965418016,1.1628800630569458,472168000
2016-06-10,NVDA,1.1491358008002055,1.1594441074146844,1.132446011048037,1.1339186429977417,400024000
2016-06-13,NVDA,1.1351461368597067,1.1707344975501852,1.1351461368597067,1.1483997106552124,475588000
2016-06-14,NVDA,1.145699567569567,1.1560078730051555,1.1329368368206818,1.1506083011627197,298344000
2016-06-15,NVDA,1.1601809840943575,1.1724527662758388,1.147418246361494,1.162389874458313,301036000
2016-06-16,NVDA,1.153799174629459,1.1690162161743227,1.142509073795057,1.1670527458190918,246456000
2016-06-17,NVDA,1.1685253720198963,1.1687707911838945,1.142018112739284,1.1466814279556274,471000000
2016-06-20,NVDA,1.1650890701964116,1.1822695790696138,1.1643526957970234,1.1672979593276978,293768000
2016-06-21,NVDA,1.172206084196569,1.1753967651924568,1.1584615672014449,1.1601797342300415,212508000
2016-06-22,NVDA,1.1626346242814238,1.1702432020950961,1.157235052593283,1.159198522567749,202620000
2016-06-23,NVDA,1.1702434395007502,1.1913510093335558,1.1695070649650399,1.1901237964630127,297880000
2016-06-24,NVDA,1.141281796736259,1.162389365192935,1.11182939196417,1.1223831176757812,1017684000
2016-06-27,NVDA,1.1130565355237156,1.1216469083929292,1.0939124364896398,1.1103568077087402,449088000
2016-06-28,NVDA,1.1314645354645936,1.1326916314461541,1.1110932207355173,1.1265558004379272,381920000
2016-06-29,NVDA,1.1363727727709039,1.1537988154448462,1.133427509638206,1.144963026046753,318932000
2016-06-30,NVDA,1.14692661741468,1.160916560261823,1.1376001058833538,1.1537989377975464,430940000
2016-07-01,NVDA,1.1474174839035154,1.1623891020517065,1.1412815383733532,1.145208477973938,218488000
2016-07-05,NVDA,1.1388273708146155,1.1641074159381646,1.1297462770476698,1.1621439456939697,371084000
2016-07-06,NVDA,1.154044683963442,1.1763794682121043,1.1481541554040462,1.1695071458816528,273104000
